FLX_ANN_MOI,AGE_BEN_SNDS,BEN_SEX_COD,RAC,FLT_PAI_MNT
201907,40,2,246259849.16,688956289.72
201907,50,1,244243730.49,825034158.84
201907,50,2,308938528.83,924807439.33
201907,60,1,245741296.6,1150516695.58
201907,60,2,298530070.66,1033569251.04
201907,70,1,200645999.59,1000780983.52
201907,70,2,257391207.74,1008441046.16
201907,80,0,6857.05,22206.57
201907,80,1,135828660.6,773711862.49
201907,80,2,252786505.42,1225843433.24
201907,99,0,29266.05,53379877.68
201907,99,1,324267.85,7664535.05
201907,99,2,327560.87,3393131.3
201908,0,0,1043.26,2858.13
201908,0,1,140643304.47,389253774.13
201908,0,2,146723850.67,368090897.69
201908,20,1,63812128.76,199498792.7
201908,20,2,102362687.03,320204145.71
201908,30,1,84297290.83,281083520.64
201908,30,2,134834227.96,454898483.33
201908,40,1,118789324.78,400264753.44
201908,40,2,161278719.56,501451632.89
201908,50,1,160529461.45,628292004.3
201908,50,2,200395759.53,689228836.95
201908,60,0,20.0,22.22
201908,60,1,161361543.32,911853026.76
201908,60,2,191406947.97,785277877.66
201908,70,1,135154339.12,807369319.42
201908,70,2,169639134.91,790094025.16
201908,80,0,34179.8,102557.1
201908,80,1,100421122.07,651685646.26
201908,80,2,190321479.75,1037211685.23
201908,99,0,48786.97,8820810.23
201908,99,1,226409.97999999998,2035473.02
201908,99,2,210993.27,2136623.85
201909,0,0,44360.89000000001,218867.92
201909,0,1,214422824.18,541711456.09
201909,0,2,225806259.76,520244806.25
201909,20,1,78554752.85,237149377.56
201909,20,2,126122017.99,376949739.73
201909,30,1,103836552.48,325040829.55
201909,30,2,167896347.74,538079393.35
201909,40,1,152500994.99,471717426.68
201909,40,2,209029251.86,601966711.57
201909,50,1,200780647.21,718306619.62
201909,50,2,249225695.08,794758645.46
201909,60,1,199440512.91,1001834452.59
201909,60,2,239904301.5,899619238.54
201909,70,0,0.0,1088.8
201909,70,1,164947660.44,886865258.17
201909,70,2,210817268.38,895428168.05
201909,80,0,19314.59,54328.35
201909,80,1,115433495.58,700836126.26
201909,80,2,217452622.76,1116977292.01
201909,99,0,7521.99,188806432.03
201909,99,1,238469.99,8504194.04
201909,99,2,236221.04,11718931.04
201910,0,0,1519.53,8631.33
201910,0,1,239199689.69,662593759.23
201910,0,2,249606552.51,615501260.06
201910,20,1,87542557.66,265538612.89
201910,20,2,144742846.87,429636393.54
201910,30,1,123609469.88,378516126.8
201910,30,2,203088116.55,638791358.01
201910,40,1,185475946.35,555466395.8
201910,40,2,256964545.86,723993881.0
201910,50,1,249993616.18,855156596.78
201910,50,2,315386083.67,964678510.0
201910,60,0,263.03,751.52
201910,60,1,257883015.59,1191299651.89
201910,60,2,313831027.31,1106619704.15
201910,70,1,213585577.66,1063569522.09
201910,70,2,273559555.27,1088394003.93
201910,80,0,3562.35,11520.17
201910,80,1,141487721.27,810806268.37
201910,80,2,261926395.69,1286590660.16
201910,99,0,5544.87,5584112.15
201910,99,1,303661.33999999997,2459525.83
201910,99,2,322477.19,1929063.19
201911,0,0,8878.74,43708.62
201911,0,1,210541269.71,566954476.95
201911,0,2,221625730.55,533244197.24
201911,20,1,74167828.56,226900672.51
201911,20,2,122591640.27,365379488.96
201911,30,1,104564282.76,325624473.92
201911,30,2,172951761.89,545258084.98
201911,40,1,156393558.81,478209930.86
201911,40,2,219024256.41,623310297.17
201911,50,1,211184328.13,740165737.23
201911,50,2,266937852.19,832999156.66
201911,60,0,0.0,0.98
201911,60,1,222616676.66,1056214633.91
201911,60,2,269550385.57,967580347.73
201911,70,1,187653089.95,947224027.16
201911,70,2,239019499.26,959974192.57
201911,80,0,3393.6299999999997,13346.86
201911,80,1,124449083.9,714152363.31
201911,80,2,229925734.5,1122772126.4
201911,99,0,27269.83,181280487.85
201911,99,1,280310.42,15557447.36
201911,99,2,288472.64,13651692.309999999
201912,0,0,6949.55,36033.55
201912,0,1,234684350.86,655531599.59
201912,0,2,243226894.2,600104096.6
201912,20,1,85439723.8,251007331.69
201912,20,2,137892234.23,399159156.76
201912,30,0,2141.95,2141.95
201912,30,1,122057949.9,363474261.32
201912,30,2,196481502.27,596741074.44
201912,40,0,4.2700000000000005,12.21
201912,40,1,186013017.18,536503631.07
201912,40,2,251821634.48,686252800.73
201912,50,1,254374215.28,828023572.49
201912,50,2,313279891.16,923347774.38
201912,60,0,1.0599999999999987,9.53
201912,60,1,257132504.19,1271979129.4
201912,60,2,307502619.1,1055683276.65
201912,70,1,210483122.92,1030893085.21
201912,70,2,262334112.81,1030193348.0
201912,80,1,136367029.86,771580492.9
201912,80,2,248876543.91,1209872763.41
201912,99,0,7689.49,13660466.540000001
201912,99,1,320628.08,2929032.53
201912,99,2,312293.76,1879539.8
202001,0,0,127.94,1563.6100000000001
202001,0,1,209370783.02,580377985.09
202001,0,2,218350231.91,543953610.9
202001,20,1,75688150.29,240431580.25
202001,20,2,123791465.05,387626522.09
202001,30,1,105742140.83,343243806.25
202001,30,2,172194856.23,570112503.62
202001,40,0,13.44,38.56
202001,40,1,149186255.44,488920567.17
202001,40,2,203901995.4,626426637.87
202001,50,1,199227502.33,761164352.45
202001,50,2,245440994.32,833990515.56
202001,60,1,209348994.97,1088762049.77
202001,60,2,246855412.95,963747316.18
202001,70,1,180480499.68,989029654.17
202001,70,2,222386800.8,971632377.33
202001,80,0,329.33000000000004,849.06
202001,80,1,123829754.07,760344678.0
202001,80,2,226725125.43,1185206674.28
202001,99,0,0.0,441884.44
202001,99,1,318626.46,2315830.3
202001,99,2,336794.92,1943192.6
202002,0,0,39.52,277.1
202002,0,1,205791412.51,566677193.92
202002,0,2,213781936.97,529547174.59
202002,20,1,75241996.66,228968996.22
202002,20,2,123067368.5,366488925.37
202002,30,1,105820232.94,327827034.28
202002,30,2,173607926.58,546103094.62
202002,40,1,155753057.47,475108370.81
202002,40,2,215637923.9,620196179.17
202002,50,1,211629246.3,735455254.62
202002,50,2,266031833.81,832145858.05
202002,60,1,224486750.14,1052562813.02
202002,60,2,272136974.39,954944255.98
202002,70,1,191409705.18,948692993.14
202002,70,2,242239937.26,958638592.26
202002,80,1,122088255.21,706758539.78
202002,80,2,220825947.94,1102947752.62
202002,99,0,686.53,2996146.41
202002,99,1,258535.31,2178688.47
202002,99,2,304398.53,1804465.93
202003,0,0,513.9499999999999,2975.94
202003,0,1,176597930.08,498115884.56
202003,0,2,184718099.58,464677441.57
202003,20,1,68349607.92,225062197.69
202003,20,2,112990511.8,354977771.12
202003,30,1,95751608.33,324878600.47
202003,30,2,157520734.34,532698580.4
202003,40,1,141358300.59,474486578.66
202003,40,2,196519897.4,607729536.94
202003,50,1,193105272.43,744494841.42
202003,50,2,240631462.93,816159207.69
202003,60,1,202104280.34,1066940434.12
202003,60,2,240715802.41,938355116.04
202003,70,1,173643287.51,968743689.76
202003,70,2,217526160.71,946932707.3
202003,80,0,401.85999999999996,1445.31
202003,80,1,114255076.07000001,729089376.86
202003,80,2,209657368.59,1125782472.63
202003,99,0,1214.32,282931595.79
202003,99,1,257696.22,13868916.48
202003,99,2,300977.51,11902118.73
202004,0,0,648.66,4402.679999999999
202004,0,1,64021326.9,253923110.33
202004,0,2,64804387.65,218035022.44
202004,20,1,30657510.64,135879053.79
202004,20,2,54542667.87,229317510.83
202004,30,1,42873510.68,207994391.31
202004,30,2,75708524.97,363710049.69
202004,40,1,58608697.09,297855069.29
202004,40,2,77089668.31,364017544.94
202004,50,1,79473372.73,483471801.11
202004,50,2,91447379.99,483619036.45
202004,60,1,89627881.34,944809886.3
202004,60,2,95329805.6,580605831.07
202004,70,1,82647100.84,697366353.51
202004,70,2,97687786.93,623802881.54
202004,80,0,8.219999999999999,159.44
202004,80,1,65269346.13,559971017.19
202004,80,2,129336232.92,853020818.18
202004,99,0,1266.6399999999999,580035747.6899999
202004,99,1,161734.51,32100734.34
202004,99,2,154038.12,39047441.15
202005,0,0,0.0,573.06
202005,0,1,123190306.25,342083972.72
202005,0,2,135159590.44,327247848.23
202005,0,9,332.78999999999996,820.59
202005,20,1,41142472.21,149861361.66
202005,20,2,72251487.47,259782187.97
202005,30,1,60116961.3,234398462.81
202005,30,2,100321592.27,411215023.69
202005,30,9,116.06,270.34
202005,40,1,87849771.04,343645618.56
202005,40,2,116699280.07,433943737.89
202005,40,9,80.21999999999998,199.87
202005,50,1,121620202.44,543617117.11
202005,50,2,144513671.91,567793555.27
202005,50,9,13.020000000000003,53.46
202005,60,1,132487377.15,1433803290.11
202005,60,2,148643890.15,664291870.52
202005,70,1,115391906.51,737379773.54
202005,70,2,139038911.41,688262203.1
202005,80,0,28.099999999999966,481.77
202005,80,1,82903826.9,586386837.76
202005,80,2,157470061.19,907756252.86
202005,99,0,0.0,76341185.42
202005,99,1,181244.91999999998,9835452.09
202005,99,2,175585.9,4189419.4499999997
202006,0,0,8.32,883.33
202006,0,1,215555935.03,542949415.4
202006,0,2,235516470.14,528182430.04
202006,20,0,0.0,47.25
202006,20,1,79635654.44,239846448.53
202006,20,2,130777577.87,391881898.93
202006,30,1,111744708.04,342856205.43
202006,30,2,180444826.06,581893144.98
202006,40,1,170634548.79,509744360.18
202006,40,2,234291306.55,662649867.89
202006,50,1,241541848.28,806475173.68
202006,50,2,297573392.57,885497216.59
202006,60,1,252811263.42,1635418770.83
202006,60,2,300461765.24,1017115752.6
202006,70,1,214171228.58,1044247917.93
202006,70,2,267251510.17,1029113175.2
202006,80,1,137144125.45,786219671.46
202006,80,2,252187881.83,1235749689.05
202006,99,0,0.0,183943861.74
202006,99,1,277205.99,15566959.1
202006,99,2,290952.94,14269264.3
202007,0,0,0.0,58.92
202007,0,1,207554522.66,566100346.48
202007,0,2,221167334.76,533281446.13
202007,20,1,84910451.78,251486602.15
202007,20,2,137516053.26,404542938.97
202007,30,1,118028379.82,352888662.59
202007,30,2,190199837.83,591634959.83
202007,40,1,176675534.77,517499107.68
202007,40,2,244286756.64,674995397.03
202007,50,1,248017357.1,809481085.98
202007,50,2,309927170.04,905331522.62
202007,60,1,251860874.73,1353186381.12
202007,60,2,300925376.37,1013110555.95
202007,70,1,213328372.92,1029240879.31
202007,70,2,268482182.21,1026202358.49
202007,80,0,1604.32,4865.94
202007,80,1,137412090.22,775416105.51
202007,80,2,252722855.98,1218692708.1
202007,99,0,3917.48,57943467.49
202007,99,1,286562.92,10091409.73
202007,99,2,312161.88,3234998.39
202008,0,0,165.84999999999997,476.62
202008,0,1,138559456.69,378164278.05
202008,0,2,147316688.28,364831349.09
202008,20,1,65076162.9,211968790.0
202008,20,2,104803755.56,333462600.26
202008,30,1,83349162.09,283273973.16
202008,30,2,134358956.79,461716156.61
202008,40,0,0.0,44.0
202008,40,1,120386372.04,399268708.96
202008,40,2,166438695.47,509521683.02
202008,50,0,0.0,27.0
202008,50,1,168190488.2,633696368.14
202008,50,2,207713868.01,689832693.28
202008,60,0,0.0,81.0
202008,60,1,171457337.5,1040533629.11
202008,60,2,200030867.41,786486843.48
202008,70,1,149501947.4,851048731.49
202008,70,2,184449757.93,819276092.95
202008,80,0,16024.960000000001,44643.090000000004
202008,80,1,102412539.46000001,655388095.33
202008,80,2,192203208.21,1027371166.96
202008,99,0,4632.4,706023.67
202008,99,1,215767.66,1978209.1
202008,99,2,244438.33,1635205.28
202009,0,0,21295.370000000003,105861.13
202009,0,1,225317226.98,589500009.64
202009,0,2,237305520.34,563679885.96
202009,20,1,84338195.96,273937697.41
202009,20,2,136105510.34,430481205.97
202009,30,1,114067049.93,368903077.52
202009,30,2,184783852.92,611018687.97
202009,40,0,0.0,27.0
202009,40,1,169342250.82,522433116.4
202009,40,2,233899886.8,677080697.14
202009,50,1,228897145.07,799211927.24
202009,50,2,284453792.12,891631704.74
202009,60,1,227618363.87,1151448408.36
202009,60,2,276083479.27,1005550542.19
202009,70,1,195775647.85,1030667539.16
202009,70,2,250848304.58,1032308392.46
202009,80,0,13667.52,44985.06
202009,80,1,129619665.8,779525379.11
202009,80,2,239847087.54,1228942425.08
202009,99,0,26492.039999999997,200237877.88
202009,99,1,291375.14,14106771.03
202009,99,2,329803.52,8735353.15
202010,0,0,126.84,737.59
202010,0,1,215114124.01,614746776.42
202010,0,2,223230139.92,571546955.04
202010,20,1,84697378.34,286329181.86
202010,20,2,139156527.19,446466910.43
202010,30,0,0.0,25.0
202010,30,1,119784869.67,388273914.0
202010,30,2,196288172.84,645099516.45
202010,40,1,180094887.79,551447333.46
202010,40,2,250732803.5,723606190.28
202010,50,1,250309515.45,852632778.55
202010,50,2,312198286.49,958269645.18
202010,60,1,260417946.78,1231987036.61
202010,60,2,316726282.35,1094044745.12
202010,70,1,226059326.57,1106215139.46
202010,70,2,288235978.64,1121412898.37
202010,80,0,656.98,3023.6
202010,80,1,139525653.52,803977086.77
202010,80,2,254034158.22,1255271106.94
202010,99,0,7249.84,19177248.44
202010,99,1,305474.2,3244835.95
202010,99,2,328550.07,2975900.57
202011,0,0,324.1500000000001,958.37
202011,0,1,206052420.03,585048389.08
202011,0,2,218983317.64,553037002.0
202011,20,1,77793307.32,274509936.06
202011,20,2,131204140.24,433684975.89
202011,30,0,0.0,27.0
202011,30,1,113342988.12,384171721.41
202011,30,2,190046181.68,637140550.54
202011,40,1,172117460.06,543699700.55
202011,40,2,242711193.76,717002289.18
202011,50,1,235675203.85999998,825520175.43
202011,50,2,296009850.95,932107939.11
202011,60,1,242028547.49,1300260084.77
202011,60,2,293736947.77,1047298862.48
202011,70,1,209450442.2,1057399057.02
202011,70,2,265384484.72,1061433005.49
202011,80,0,5223.94,16529.03
202011,80,1,129689721.95,769618658.5
202011,80,2,237719662.47,1209415746.28
202011,99,0,177188.94000000003,201214694.57
202011,99,1,288266.27,9599815.11
202011,99,2,310672.72,7332250.4
202012,0,0,364.71000000000004,1223.5
202012,0,1,239776077.51,671338335.69
202012,0,2,252944095.45,622885897.5
202012,20,1,90010014.71,298379289.23
202012,20,2,148013698.38,463938133.74
202012,30,0,0.0,108.0
202012,30,1,130804000.86,418567094.2
202012,30,2,211300713.03,679153946.71
202012,40,0,0.0,205.78
202012,40,1,197502390.85,598165631.61
202012,40,2,269561206.97,769324313.3
202012,50,0,0.0,27.0
202012,50,1,272102054.73,912253541.27
202012,50,2,331561828.72,1010610978.77
202012,60,0,0.0,3862.98
202012,60,1,276318910.61,1651306034.45
202012,60,2,326832903.1,1129864909.92
202012,70,1,233443000.43,1163937635.52
202012,70,2,288883854.02,1140838974.93
202012,80,0,238.21000000000004,598.62
202012,80,1,140475068.72,832716574.99
202012,80,2,254867290.98,1297542988.28
202012,99,0,73818.02,55487167.019999996
202012,99,1,281441.85,4008022.23
202012,99,2,337426.44,2059333.43
202101,0,0,309.14,627.26
202101,0,1,195658061.89,544980530.55
202101,0,2,208417823.42,520533362.18
202101,20,1,74809930.77,258935556.94
202101,20,2,123408297.9,406594674.5
202101,30,0,0.0,54.0
202101,30,1,105447268.28,358497069.35
202101,30,2,171499304.58,585573234.25
202101,40,0,0.0,81.0
202101,40,1,156321715.32,506924334.13
202101,40,2,210790512.58,646497864.82
202101,50,0,0.0,54.0
202101,50,1,211566743.13,775954534.43
202101,50,2,251503458.69,844341583.1
202101,60,0,0.0,27.0
202101,60,1,214557145.0,1143211228.49
202101,60,2,247933928.89,954321284.17
202101,70,1,186964356.09,1016772672.95
202101,70,2,225679478.54,981061450.13
202101,80,1,117602084.81,748854178.35
202101,80,2,213045277.72,1157898317.51
202101,99,0,56547.68,1877832.43
202101,99,1,275605.98,2085245.27
202101,99,2,319521.45,1862257.76
202102,0,0,482.4500000000003,2425.4100000000003
202102,0,1,197920351.35,568193660.02
