Year,Month,AGE_BEN_SNDS,BEN_SEX_COD,RAC,FLT_PAI_MNT
2019,3,30,1,121615586.14002918,361205851.2497799
2019,3,30,2,199083788.9202258,603425622.5487815
2019,3,40,1,183341513.68014878,535764601.4295068
2019,3,40,2,254232669.95029023,697613926.4784307
2019,3,50,1,246355891.7502528,822623750.6679031
2019,3,50,2,314753105.29028416,930535336.477154
2019,3,60,0,0.0,14683.409999999998
2019,3,60,1,251575700.34027407,1129538060.6759627
2019,3,60,2,312291207.4803466,1057992125.6561842
2019,3,70,1,204466545.58026764,988149946.585996
2019,3,70,2,263803777.85045302,1010607163.1954759
2019,3,80,0,366.96000000000004,956.74
2019,3,80,1,132950375.79004122,745840282.1678661
2019,3,80,2,245654058.67037332,1185263823.5347266
2019,3,99,0,2813.550000000001,7887692.699999999
2019,3,99,1,312335.34999999736,2621817.0000000177
2019,3,99,2,358270.3499999946,2015787.2600001458
2019,4,0,0,389.0199999999999,1619.0900000000001
2019,4,0,1,212419385.2602324,583672729.0592121
2019,4,0,2,225906891.17027444,552142033.1092628
2019,4,20,1,76167497.00999025,236879292.37997922
2019,4,20,2,127257641.75012772,382624899.6495865
2019,4,30,0,51.74000000000004,912.6899999999999
2019,4,30,1,106575858.17003633,337643925.54989517
2019,4,30,2,179776604.42014325,570571358.2692932
2019,4,40,1,157095754.97007254,496288824.6496303
2019,4,40,2,224156738.42020714,652816939.218946
2019,4,50,1,212112775.56016502,766208565.298411
2019,4,50,2,274926242.9102679,869446475.8676748
2019,4,60,1,223718865.1202101,1123976344.6967864
2019,4,60,2,276267775.3002885,995581585.9867725
2019,4,70,1,185578478.7701903,952955287.3567739
2019,4,70,2,240900279.35036135,969909441.2261281
2019,4,80,0,10852.910000000002,39287.47000000001
2019,4,80,1,125269093.17005315,728942430.558375
2019,4,80,2,235297726.37029272,1156497654.9758759
2019,4,99,0,1082.7399999999996,8425816.48
2019,4,99,1,331056.2299999966,2610564.900000095
2019,4,99,2,331670.66999999824,2668512.8000000454
2019,5,0,0,32.25,496.25
2019,5,0,1,206149159.1102134,577782775.4294518
2019,5,0,2,217008294.63023522,535960253.7795011
2019,5,20,1,76637521.82998899,235941524.79998636
2019,5,20,2,125977110.28013615,380593587.7095265
2019,5,30,1,109405036.68004572,339061608.0798545
2019,5,30,2,181575588.95017806,573887786.9091332
2019,5,40,0,0.0,13805.49
2019,5,40,1,161461382.75010732,499175853.5696705
2019,5,40,2,226984389.41019905,653422961.1688813
2019,5,50,1,216569039.9801814,765456036.8785392
2019,5,50,2,276809130.2002634,864597686.5880716
2019,5,60,1,227100864.45021564,1090778125.197593
2019,5,60,2,282145842.50028247,1000317059.7774166
2019,5,70,1,190394114.6502283,958348869.4273856
2019,5,70,2,247512846.15037858,981166903.4568479
2019,5,80,0,850.7200000000001,3243.85
2019,5,80,1,131078559.82005687,739250447.6986663
2019,5,80,2,248343110.9102884,1180402137.506347
2019,5,99,0,4536.8,688140.8200000004
2019,5,99,1,301733.26999999804,2288308.1300000586
2019,5,99,2,311497.75999999803,1772873.3500000644
2019,6,0,0,15548.030000000002,79772.68
2019,6,0,1,203175238.04022577,568514485.1392435
2019,6,0,2,210057485.94026548,519456992.6993633
2019,6,20,1,75372256.06997485,228844851.61998954
2019,6,20,2,121737726.71009086,366561043.2695416
2019,6,30,1,106857069.72001907,327031519.9298841
2019,6,30,2,174707786.48014894,546448993.9292591
