BEN_RES_REG;FLT_REM_MNT;FLT_PAI_MNT;RAC;POPULATION;PAI_MNT_PERS;VARIATION_AROUND_NAT_AVG
Grand Est;10160219910.799953;12844815205.199749;2684595294.400004;5568711;2306.6047430365393;2.2688004092099034
Auvergne-Rhône-Alpes;14187395483.659897;17368237562.79956;3180842079.140011;8235923;2108.8392354809002;-6.499603141980293
Régions et Départements d'outre-mer;4483984059.290007;5434736283.870015;950752224.5799989;2230472;2436.5857468150307;8.031816969607535
Ile-de-France;19767643372.06987;26142990655.519287;6375347283.450014;12419961;2104.91729044232;-6.673491891484226
Aquitaine-Limousin-Poitou-Charentes;11737906280.369923;14085256114.269667;2347349833.900001;6154772;2288.5098122675654;1.4665186707294298
Bourgogne-Franche-Comté;4935344534.650035;5972033802.7299795;1036689268.0800004;2791719;2139.1958870967956;-5.153668883165349
Pays de la Loire;6133301653.550023;7389269597.099927;1255967943.5499997;3926389;1881.9504631609163;-16.55925581612531
Languedoc-Roussillon-Midi-Pyrénées;13187451710.639917;15686010618.259619;2498558907.6200013;6154729;2548.6110953479215;12.998726902689596
Provence-Alpes-Côte d'Azur et Corse;13694189684.739906;16245659846.519602;2551470161.780002;5553539;2925.2805907223487;29.69926372373735
Hauts-de-France - Nord-Pas-de-Calais-Picardie;11543954950.829945;13612025130.709726;2068070179.88;5983823;2274.804106122411;0.8588436321440042
Normandie;6137419447.840025;7133557559.319939;996138111.4799998;3327077;2144.091513157026;-4.936609672677159
Centre-Val de Loire;4478721995.470037;5470015164.299986;991293168.8299998;2573295;2125.685226256603;-5.752696124843178
Bretagne;5799490843.530025;6827120987.0099535;1027630143.4800001;3453023;1977.1432124865526;-12.338659153182775
