SOI_ANN,SOI_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
2019.0,1.0,1.0,20.0,75.0,6125584.950000019,19230870.26999707,13105285.319998989
2019.0,1.0,1.0,20.0,76.0,7122336.860000138,23157210.739997298,16034873.879998395
2019.0,1.0,1.0,20.0,84.0,10510614.880000116,30892324.499998674,20381709.619997997
2019.0,1.0,1.0,20.0,93.0,6834264.100000039,23569823.279997665,16735559.179998714
2019.0,1.0,1.0,30.0,5.0,2559504.0899999607,9794258.589999637,7234754.49999988
2019.0,1.0,1.0,30.0,11.0,26828477.439998332,71438136.02000454,44609658.57999528
2019.0,1.0,1.0,30.0,24.0,3330849.709999968,10813085.319998562,7482235.609999818
2019.0,1.0,1.0,30.0,27.0,3908216.799999977,12604515.499998176,8696298.699999612
2019.0,1.0,1.0,30.0,28.0,4698107.979999928,15509698.33999761,10811590.359999467
2019.0,1.0,1.0,30.0,32.0,10103828.970000016,33234504.069999196,23130675.099998433
2019.0,1.0,1.0,30.0,44.0,10277375.180000136,30719347.179999135,20441971.999998454
2019.0,1.0,1.0,30.0,52.0,5151104.170000008,16994759.37999737,11843655.2099993
2019.0,1.0,1.0,30.0,53.0,4097097.119999922,13686858.529998146,9589761.409999678
2019.0,1.0,1.0,30.0,75.0,8459168.7400001,27389159.39999849,18929990.659998458
2019.0,1.0,1.0,30.0,76.0,9218231.42000008,31655232.729999058,22437001.309998143
2019.0,1.0,1.0,30.0,84.0,13231570.879999954,40352948.49999949,27121377.619997688
2019.0,1.0,1.0,30.0,93.0,9500954.720000045,32662450.04999927,23161495.32999846
2019.0,1.0,1.0,40.0,5.0,4157961.989999939,15886745.699998654,11728783.70999974
2019.0,1.0,1.0,40.0,11.0,36133431.85999676,98864408.28001831,62730976.41999408
2019.0,1.0,1.0,40.0,24.0,5667967.140000074,17692553.079996955,12024585.93999884
2019.0,1.0,1.0,40.0,27.0,6121392.890000101,19216251.409997277,13094858.519998569
2019.0,1.0,1.0,40.0,28.0,7095338.790000102,23442325.85999832,16346987.069998357
2019.0,1.0,1.0,40.0,32.0,14830687.000000024,49454804.420000575,34624117.41999673
2019.0,1.0,1.0,40.0,44.0,15137330.310000246,45109651.73999972,29972321.429997616
2019.0,1.0,1.0,40.0,52.0,8214248.170000151,24966319.63999829,16752071.469998261
2019.0,1.0,1.0,40.0,53.0,6726636.160000111,21410297.669998325,14683661.509998852
2019.0,1.0,1.0,40.0,75.0,13412595.400000064,42909326.31999964,29496730.919997517
2019.0,1.0,1.0,40.0,76.0,14108672.300000176,48003120.10999958,33894447.809996545
2019.0,1.0,1.0,40.0,84.0,19887993.81999918,59168741.58000159,39280747.759995796
2019.0,1.0,1.0,40.0,93.0,14316058.86000005,48338136.420000285,34022077.559997045
2019.0,1.0,1.0,50.0,5.0,6263962.889999954,27681267.26000028,21417304.369999845
2019.0,1.0,1.0,50.0,11.0,43505994.579995394,136029618.98002845,92523624.40000874
2019.0,1.0,1.0,50.0,24.0,7898758.450000183,28348644.91999825,20449886.46999783
2019.0,1.0,1.0,50.0,27.0,8826244.620000094,31024357.029998913,22198112.4099978
2019.0,1.0,1.0,50.0,28.0,9843185.710000094,36853703.61999925,27010517.90999779
2019.0,1.0,1.0,50.0,32.0,19147832.3499994,76346817.08000441,57198984.72999647
2019.0,1.0,1.0,50.0,44.0,21433202.5399992,71843178.92000437,50409976.37999714
2019.0,1.0,1.0,50.0,52.0,10745892.960000128,37876013.78999898,27130120.829997443
2019.0,1.0,1.0,50.0,53.0,9245078.480000105,33923946.81999908,24678868.339997835
2019.0,1.0,1.0,50.0,75.0,18999750.36999956,69057452.89000398,50057702.51999568
2019.0,1.0,1.0,50.0,76.0,19650334.10999969,77813471.14000906,58163137.029996105
2019.0,1.0,1.0,50.0,84.0,27375935.86999838,89541972.57001215,62166036.69999639
2019.0,1.0,1.0,50.0,93.0,19951147.229999606,77867455.73000866,57916308.49999563
2019.0,1.0,1.0,60.0,5.0,5967486.449999985,39060803.500001185,33093317.050000023
2019.0,1.0,1.0,60.0,11.0,38951007.859996,190969116.920015,152018109.0600174
2019.0,1.0,1.0,60.0,24.0,9166478.830000052,51299260.55000074,42132781.71999685
2019.0,1.0,1.0,60.0,27.0,10151527.800000055,59865494.37000136,49713966.56999611
2019.0,1.0,1.0,60.0,28.0,10919054.440000197,69842795.0200016,58923740.579997085
2019.0,1.0,1.0,60.0,32.0,19128754.599999353,115682050.58001347,96553295.98000072
2019.0,1.0,1.0,60.0,44.0,23318417.69999868,114173681.55001356,90855263.85000059
2019.0,1.0,1.0,60.0,52.0,12248733.800000146,68266449.89000204,56017716.089996785
2019.0,1.0,1.0,60.0,53.0,10499727.180000087,59014268.16000146,48514540.97999774
2019.0,1.0,1.0,60.0,75.0,22593439.389998533,123415116.66002215,100821677.27000606
2019.0,1.0,1.0,60.0,76.0,21757367.659999423,126316934.9400258,104559567.28000829
2019.0,1.0,1.0,60.0,84.0,28041726.529998176,140198463.08002442,112156736.55000962
2019.0,1.0,1.0,60.0,93.0,21149320.119999323,129604945.9400247,108455625.82000957
2019.0,1.0,1.0,70.0,5.0,3948892.279999922,27415474.98000054,23466582.699999742
2019.0,1.0,1.0,70.0,11.0,29959066.329997662,133418767.60003467,103459701.27000618
2019.0,1.0,1.0,70.0,24.0,7446703.910000092,37713462.59000118,30266758.679997154
2019.0,1.0,1.0,70.0,27.0,8324120.030000132,41776789.77000195,33452669.739997245
2019.0,1.0,1.0,70.0,28.0,8655978.140000105,45174287.80000112,36518309.659997344
2019.0,1.0,1.0,70.0,32.0,13809695.030000515,78247761.15000638,64438066.11999732
2019.0,1.0,1.0,70.0,44.0,18049176.650000203,81305083.34000923,63255906.68999677
2019.0,1.0,1.0,70.0,52.0,9924794.740000244,46988611.10000249,37063816.359997235
2019.0,1.0,1.0,70.0,53.0,8411387.470000194,44894708.1200022,36483320.649996996
2019.0,1.0,1.0,70.0,75.0,19385303.03999975,98475272.25002047,79089969.20999931
2019.0,1.0,1.0,70.0,76.0,18702737.510000177,104685902.40002191,85983164.89000265
2019.0,1.0,1.0,70.0,84.0,23802155.599998776,111648151.13002136,87845995.53000088
2019.0,1.0,1.0,70.0,93.0,19690836.39999993,108829685.26002783,89138848.8600036
2019.0,1.0,1.0,80.0,5.0,2413549.2699999255,20430737.389999237,18017188.119999412
2019.0,1.0,1.0,80.0,11.0,18888792.85000018,98153574.22001839,79264781.3700012
2019.0,1.0,1.0,80.0,24.0,4877431.679999916,27786137.089998387,22908705.40999775
2019.0,1.0,1.0,80.0,27.0,5222940.139999897,30093623.530000072,24870683.389998704
2019.0,1.0,1.0,80.0,28.0,5345777.150000022,31859731.88999996,26513954.73999819
2019.0,1.0,1.0,80.0,32.0,8457640.550000072,52427327.820001274,43969687.2699986
2019.0,1.0,1.0,80.0,44.0,12753743.410000091,58698610.850001976,45944867.43999817
2019.0,1.0,1.0,80.0,52.0,6602170.280000053,34393419.2800009,27791248.999998726
2019.0,1.0,1.0,80.0,53.0,5360686.899999987,34298812.790000334,28938125.889998246
2019.0,1.0,1.0,80.0,75.0,13050539.760000395,79640767.03000814,66590227.26999725
2019.0,1.0,1.0,80.0,76.0,13262913.770000512,90687373.7900127,77424460.01999983
2019.0,1.0,1.0,80.0,84.0,14550523.03000054,80064174.22000809,65513651.18999689
2019.0,1.0,1.0,80.0,93.0,13800395.830000522,93823558.98001702,80023163.15000199
2019.0,1.0,1.0,99.0,5.0,334.49000000000007,5978.320000000002,5643.83
2019.0,1.0,1.0,99.0,11.0,9277.069999999994,6213204.350000002,6203927.280000001
2019.0,1.0,1.0,99.0,24.0,4367.270000000003,46420.57,42053.299999999996
2019.0,1.0,1.0,99.0,27.0,10853.999999999993,157739.92,146885.92
2019.0,1.0,1.0,99.0,28.0,1223.95,77728.11999999991,76504.16999999995
2019.0,1.0,1.0,99.0,32.0,4508.290000000003,3761089.78,3756581.4899999998
2019.0,1.0,1.0,99.0,44.0,7602.139999999996,5868297.600000001,5860695.460000001
2019.0,1.0,1.0,99.0,52.0,2079.3800000000006,1048262.76,1046183.38
2019.0,1.0,1.0,99.0,53.0,1289.76,1053549.02,1052259.26
2019.0,1.0,1.0,99.0,75.0,39150.59000000002,1589931.02,1550780.4299999997
2019.0,1.0,1.0,99.0,76.0,100333.31999999988,1777168.5500000103,1676835.230000002
2019.0,1.0,1.0,99.0,84.0,14172.16999999999,3279256.89,3265084.7199999997
2019.0,1.0,1.0,99.0,93.0,114496.27999999991,6219211.550000015,6104715.270000004
2019.0,1.0,2.0,0.0,5.0,6679258.06999994,18836313.00999883,12157054.939999897
2019.0,1.0,2.0,0.0,11.0,46391277.62999334,109698390.62002528,63307112.98999183
2019.0,1.0,2.0,0.0,24.0,8016565.020000359,19802342.54999681,11785777.529999407
2019.0,1.0,2.0,0.0,27.0,8438733.850000253,20357596.34999751,11918862.499999374
2019.0,1.0,2.0,0.0,28.0,10324117.900000382,28488573.87999833,18164455.97999913
2019.0,1.0,2.0,0.0,32.0,21651164.949998777,54165299.400002554,32514134.449997287
2019.0,1.0,2.0,0.0,44.0,20403443.979999553,49052075.470001325,28648631.489998095
2019.0,1.0,2.0,0.0,52.0,12124829.290000359,29690105.45999801,17565276.169999193
2019.0,1.0,2.0,0.0,53.0,9932449.370000076,25187880.059998438,15255430.689999256
2019.0,1.0,2.0,0.0,75.0,18489218.989999723,45293552.84000095,26804333.849997442
2019.0,1.0,2.0,0.0,76.0,19858863.969999105,52643577.0700034,32784713.09999684
2019.0,1.0,2.0,0.0,84.0,28501033.79999742,71038115.43000689,42537081.62999454
2019.0,1.0,2.0,0.0,93.0,19046221.52999963,50798961.49000238,31752739.95999738
2019.0,1.0,2.0,20.0,5.0,3918220.7399998363,14028100.429997979,10109879.6899999
2019.0,1.0,2.0,20.0,11.0,29505033.85999739,77421422.66001713,47916388.799996465
2019.0,1.0,2.0,20.0,24.0,3982992.2599998023,12504765.509997018,8521773.249999588
2019.0,1.0,2.0,20.0,27.0,4434586.48999985,13797938.169996662,9363351.679999484
2019.0,1.0,2.0,20.0,28.0,4966842.099999918,16609495.249996064,11642653.149999155
2019.0,1.0,2.0,20.0,32.0,10663152.24000017,35137171.13000057,24474018.889997542
2019.0,1.0,2.0,20.0,44.0,11351404.990000166,34378370.48999939,23026965.499997787
2019.0,1.0,2.0,20.0,52.0,6054799.7800000785,19460646.719996396,13405846.939998912
2019.0,1.0,2.0,20.0,53.0,4702356.819999896,15629705.239996446,10927348.419999262
2019.0,1.0,2.0,20.0,75.0,9820646.180000192,30449978.739998892,20629332.559998106
2019.0,1.0,2.0,20.0,76.0,11506708.350000365,37559096.7200013,26052388.369997155
2019.0,1.0,2.0,20.0,84.0,17108917.94999993,50249269.1400059,33140351.189995732
2019.0,1.0,2.0,20.0,93.0,11079089.27000035,35659676.43999967,24580587.169996757
2019.0,1.0,2.0,30.0,5.0,5430255.6299999645,19808970.5599991,14378714.92999971
2019.0,1.0,2.0,30.0,11.0,47884894.02999347,130639583.38003393,82754689.35000212
2019.0,1.0,2.0,30.0,24.0,5438851.349999892,18234110.58999681,12795259.239998862
2019.0,1.0,2.0,30.0,27.0,5990861.960000031,19512246.3899972,13521384.42999867
2019.0,1.0,2.0,30.0,28.0,7162173.900000174,24767155.779998276,17604981.87999822
2019.0,1.0,2.0,30.0,32.0,15409936.520000268,52374246.29000276,36964309.76999725
2019.0,1.0,2.0,30.0,44.0,15423991.960000133,48031921.66000289,32607929.699997608
2019.0,1.0,2.0,30.0,52.0,8168080.010000136,28158056.019998908,19989976.00999845
