ANNEE,INFLATION_FR,INFLATION_RAC
2019-2020,0.021631509917542438,-0.0205068703104028
2020-2021,0.06979082902966995,0.043375429195554246
2021-2022,0.023357167350271196,0.034116967128569736
2022-2023,0.03933915739679235,0.054116035863333675
2023-2024,0.08153801058030814,0.0817016667372426
