SOI_ANN,SOI_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
2019.0,1.0,1.0,20.0,75.0,6125362.240000017,19230252.42999708,13104890.18999898
2019.0,1.0,1.0,20.0,76.0,7122127.10000014,23156554.539997302,16034427.439998386
2019.0,1.0,1.0,20.0,84.0,10510354.540000118,30891447.23999868,20381092.69999799
2019.0,1.0,1.0,20.0,93.0,6834176.7400000375,23569516.399997666,16735339.659998711
2019.0,1.0,1.0,30.0,5.0,2559436.3899999605,9794065.149999637,7234628.759999881
2019.0,1.0,1.0,30.0,11.0,26827420.39999834,71435119.33000451,44607698.929995306
2019.0,1.0,1.0,30.0,24.0,3330689.6299999673,10812628.469998565,7481938.839999816
2019.0,1.0,1.0,30.0,27.0,3908061.519999976,12604062.719998179,8696001.199999612
2019.0,1.0,1.0,30.0,28.0,4697889.519999928,15509074.87999761,10811185.359999467
2019.0,1.0,1.0,30.0,32.0,10103200.050000016,33232709.109999206,23129509.05999842
2019.0,1.0,1.0,30.0,44.0,10276956.320000142,30718151.78999914,20441195.469998445
2019.0,1.0,1.0,30.0,52.0,5150850.730000003,16994036.04999738,11843185.319999298
2019.0,1.0,1.0,30.0,53.0,4096907.519999921,13686317.409998147,9589409.889999678
2019.0,1.0,1.0,30.0,75.0,8458689.070000105,27387771.199998498,18929082.12999845
2019.0,1.0,1.0,30.0,76.0,9217803.440000081,31654011.129999064,22436207.689998135
2019.0,1.0,1.0,30.0,84.0,13230986.839999957,40351262.4099995,27120275.569997672
2019.0,1.0,1.0,30.0,93.0,9500605.730000047,32661453.989999283,23160848.25999845
2019.0,1.0,1.0,40.0,5.0,4157689.1399999396,15885965.979998654,11728276.839999741
2019.0,1.0,1.0,40.0,11.0,36131577.21999679,98859115.25001827,62727538.02999407
2019.0,1.0,1.0,40.0,24.0,5667631.480000073,17691585.509996958,12023954.029998837
2019.0,1.0,1.0,40.0,27.0,6121055.540000101,19215263.94999728,13094208.409998566
2019.0,1.0,1.0,40.0,28.0,7094857.2100001,23440932.269998323,16346075.059998346
2019.0,1.0,1.0,40.0,32.0,14829703.650000023,49451978.74000057,34622275.08999671
2019.0,1.0,1.0,40.0,44.0,15136484.310000239,45107237.30999972,29970752.999997597
2019.0,1.0,1.0,40.0,52.0,8213786.890000148,24965003.159998298,16751216.269998252
2019.0,1.0,1.0,40.0,53.0,6726256.240000109,21409194.19999833,14682937.959998848
2019.0,1.0,1.0,40.0,75.0,13411731.550000062,42906841.689999625,29495110.1399975
2019.0,1.0,1.0,40.0,76.0,14107791.890000174,48000559.19999956,33892767.30999653
2019.0,1.0,1.0,40.0,84.0,19887044.039999183,59166030.78000158,39278986.73999581
2019.0,1.0,1.0,40.0,93.0,14315328.400000049,48336032.53000028,34020704.12999703
2019.0,1.0,1.0,50.0,5.0,6263527.439999952,27680022.97000028,21416495.529999845
2019.0,1.0,1.0,50.0,11.0,43502939.859995425,136020837.14002827,92517897.28000867
2019.0,1.0,1.0,50.0,24.0,7898146.240000183,28346878.44999826,20448732.209997818
2019.0,1.0,1.0,50.0,27.0,8825582.050000094,31022456.079998925,22196874.02999779
2019.0,1.0,1.0,50.0,28.0,9842306.7200001,36851127.70999925,27008820.989997786
2019.0,1.0,1.0,50.0,32.0,19145671.079999402,76340600.8400044,57194929.75999645
2019.0,1.0,1.0,50.0,44.0,21431673.709999204,71838762.12000434,50407088.40999714
2019.0,1.0,1.0,50.0,52.0,10745143.560000127,37873831.13999899,27128687.579997428
2019.0,1.0,1.0,50.0,53.0,9244428.350000104,33922062.61999907,24677634.269997824
