,annee,mois,region,SIN_N/N-1
105,2020,10,Nouvelle-Aquitaine,0.013925121761046322
106,2020,11,Nouvelle-Aquitaine,0.04656997471660551
107,2020,12,Nouvelle-Aquitaine,0.04743639250351195
108,2020,1,Occitanie,-0.029014166266017938
109,2020,2,Occitanie,0.008991754205214919
110,2020,3,Occitanie,-0.30867615176252305
111,2020,4,Occitanie,-0.6712056865763586
112,2020,5,Occitanie,-0.2799620247549385
113,2020,6,Occitanie,0.09530786248813317
114,2020,7,Occitanie,0.045575401392046855
115,2020,8,Occitanie,0.07107885288700255
116,2020,9,Occitanie,0.08138834563026953
117,2020,10,Occitanie,0.008371328174000103
118,2020,11,Occitanie,0.038116713763955756
119,2020,12,Occitanie,0.03552238450698875
120,2020,1,Pays de la Loire,-0.04226092791152436
121,2020,2,Pays de la Loire,0.0628463424939163
122,2020,3,Pays de la Loire,-0.32299600211543456
123,2020,4,Pays de la Loire,-0.6779724490370644
124,2020,5,Pays de la Loire,-0.28041796275763353
125,2020,6,Pays de la Loire,0.13130993128799728
126,2020,7,Pays de la Loire,0.07498198019794078
127,2020,8,Pays de la Loire,0.080393389584833
128,2020,9,Pays de la Loire,0.11294418148553631
129,2020,10,Pays de la Loire,0.043463363724075554
130,2020,11,Pays de la Loire,0.07271163154058513
131,2020,12,Pays de la Loire,0.07410798265664487
132,2020,1,Provence-Alpes-Côte d'Azur et Corse,-0.03956504340558664
133,2020,2,Provence-Alpes-Côte d'Azur et Corse,0.043042179284274784
134,2020,3,Provence-Alpes-Côte d'Azur et Corse,-0.3386132526831678
135,2020,4,Provence-Alpes-Côte d'Azur et Corse,-0.6550392303015211
136,2020,5,Provence-Alpes-Côte d'Azur et Corse,-0.28399490996150656
137,2020,6,Provence-Alpes-Côte d'Azur et Corse,0.10407871565089044
138,2020,7,Provence-Alpes-Côte d'Azur et Corse,0.0583438830989047
139,2020,8,Provence-Alpes-Côte d'Azur et Corse,0.08500124676829546
140,2020,9,Provence-Alpes-Côte d'Azur et Corse,0.07246867133751222
141,2020,10,Provence-Alpes-Côte d'Azur et Corse,0.0067455156317304255
142,2020,11,Provence-Alpes-Côte d'Azur et Corse,0.03914756144856213
143,2020,12,Provence-Alpes-Côte d'Azur et Corse,0.021452033444829377
144,2020,1,Régions et Départements d'outre-mer,-0.0656514573927649
145,2020,2,Régions et Départements d'outre-mer,-0.025496847364083197
146,2020,3,Régions et Départements d'outre-mer,-0.2529332457219785
147,2020,4,Régions et Départements d'outre-mer,-0.5765905602711675
148,2020,5,Régions et Départements d'outre-mer,-0.2744743863139183
149,2020,6,Régions et Départements d'outre-mer,-0.005545534974758737
150,2020,7,Régions et Départements d'outre-mer,0.02057504976475011
151,2020,8,Régions et Départements d'outre-mer,0.04527050689333745
152,2020,9,Régions et Départements d'outre-mer,0.005159451811552085
153,2020,10,Régions et Départements d'outre-mer,-0.03280317280461387
154,2020,11,Régions et Départements d'outre-mer,0.019132539857804387
155,2020,12,Régions et Départements d'outre-mer,0.014203622199860932
156,2021,1,Auvergne-Rhône-Alpes,-0.010589146574665698
157,2021,2,Auvergne-Rhône-Alpes,-0.07356947616769272
158,2021,3,Auvergne-Rhône-Alpes,0.6941412049211046
159,2021,4,Auvergne-Rhône-Alpes,2.184697171812468
160,2021,5,Auvergne-Rhône-Alpes,0.3897805972337063
161,2021,6,Auvergne-Rhône-Alpes,0.04572393457582358
162,2021,7,Auvergne-Rhône-Alpes,-0.08857434243004503
163,2021,8,Auvergne-Rhône-Alpes,-0.06889674002605983
164,2021,9,Auvergne-Rhône-Alpes,-0.019921341483349564
165,2021,10,Auvergne-Rhône-Alpes,-0.017906287508276164
166,2021,11,Auvergne-Rhône-Alpes,0.045092631175025044
167,2021,12,Auvergne-Rhône-Alpes,-0.05295767555812847
168,2021,1,Bourgogne-Franche-Comté,-0.029577846833646504
169,2021,2,Bourgogne-Franche-Comté,-0.08248995598403908
170,2021,3,Bourgogne-Franche-Comté,0.6069489120408293
171,2021,4,Bourgogne-Franche-Comté,2.0292615991750087
172,2021,5,Bourgogne-Franche-Comté,0.421244562440904
173,2021,6,Bourgogne-Franche-Comté,0.05191288465847643
174,2021,7,Bourgogne-Franche-Comté,-0.07429720313874044
175,2021,8,Bourgogne-Franche-Comté,-0.05527235739778913
176,2021,9,Bourgogne-Franche-Comté,-0.017663801505800603
177,2021,10,Bourgogne-Franche-Comté,-0.039776012329099775
178,2021,11,Bourgogne-Franche-Comté,0.023616081089326002
179,2021,12,Bourgogne-Franche-Comté,-0.027138640149537374
180,2021,1,Bretagne,-0.0003629111233555138
181,2021,2,Bretagne,-0.04070847870809313
182,2021,3,Bretagne,0.46646969973039565
183,2021,4,Bretagne,2.1070149253956623
184,2021,5,Bretagne,0.355227801683236
185,2021,6,Bretagne,0.039996161977624345
186,2021,7,Bretagne,-0.08378837771479564
187,2021,8,Bretagne,-0.06644301812830156
188,2021,9,Bretagne,-0.03789435735958069
189,2021,10,Bretagne,-0.031943404281184695
190,2021,11,Bretagne,-0.01513351473241975
191,2021,12,Bretagne,-0.04827039836150371
192,2021,1,Centre-Val-de-Loire,-0.013478719621302093
193,2021,2,Centre-Val-de-Loire,-0.03811960212394716
194,2021,3,Centre-Val-de-Loire,0.47848018502634226
195,2021,4,Centre-Val-de-Loire,2.1129756974635945
196,2021,5,Centre-Val-de-Loire,0.34316167530446795
197,2021,6,Centre-Val-de-Loire,0.05646911206204552
198,2021,7,Centre-Val-de-Loire,-0.07921114696570308
199,2021,8,Centre-Val-de-Loire,-0.0714930368244372
200,2021,9,Centre-Val-de-Loire,-0.03222151244043203
201,2021,10,Centre-Val-de-Loire,-0.0398007838071639
